url;address;price;area;shortDescription;update_date_time
https://www.olx.pl/d/oferta/mieszkania-na-sprzedaz-CID3-IDTFkLv.html;Skawina;340000.0;38.0;Mieszkania na sprzedaż;2023-03-24T01:07:52.314240100
https://www.otodom.pl/pl/oferta/gotowe-mieszkania-2-miejsca-postojowe-ID4j6OE.html;Skawina;540000.0;70.0;Gotowe mieszkania -2 miejsca postojowe;2023-03-24T01:07:52.586537900
https://www.olx.pl/d/oferta/mieszkanie-dwupoziomowe-z-ogrodkiem-i-miejscem-parkingowym-CID3-IDQPjZ6.html;Skawina;680000.0;115.0;Mieszkanie dwupoziomowe z ogródkiem i miejscem parkingowym.;2023-03-24T01:07:52.815589100
https://www.otodom.pl/pl/oferta/mieszkanie-skawina-ul-ogrody-48m2-do-zamieszkania-ID4k0eh.html;Skawina;420000.0;48.0;Mieszkanie Skawina ul. Ogrody 48m2 do zamieszkania;2023-03-24T01:07:53.009657
https://www.otodom.pl/pl/oferta/mieszkanie-w-skawinie-o-pow-43-32-m2-ID4ktCy.html;Skawina;487520.0;43.32;Mieszkanie w Skawinie o pow. 43,32 m2;2023-03-24T01:07:53.340008900
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-wysoki-standard-ID4k7yH.html;Skawina;569000.0;52.31;3-pokojowe mieszkanie wysoki standard;2023-03-24T01:07:53.528157900
https://www.olx.pl/d/oferta/skawina-ul-lipowa-nowe-piekne-2-pokojowe-z-miejscem-postojowym-CID3-IDRYojM.html;Skawina;475000.0;44.33;Skawina ul. Lipowa Nowe, piękne 2 pokojowe z miejscem postojowym;2023-03-24T01:07:53.728967300
https://www.olx.pl/d/oferta/mieszkanie-wlasnosciowe-skawina-CID3-IDTHkpl.html;Skawina;380000.0;50.0;Mieszkanie własnościowe Skawina;2023-03-24T01:07:53.887455600
https://www.otodom.pl/pl/oferta/lesna-skawina-3-pokojowe-ID4jfat.html;Skawina;548000.0;65.22;Leśna, Skawina. 3 pokojowe.;2023-03-24T01:07:54.053728
https://www.otodom.pl/pl/oferta/skawina-mieszkanie-jedno-pokojowe-po-remoncie-ID4kITR.html;Skawina;279000.0;28.0;Skawina mieszkanie jedno pokojowe po remoncie;2023-03-24T01:07:54.219030
https://www.olx.pl/d/oferta/super-mieszkanko-w-bloku-z-winda-i-miejscem-w-garazu-podziemnym-CID3-IDSCT9v.html;Skawina;569000.0;52.31;Super mieszkanko w bloku z windą i miejscem w garażu podziemnym;2023-03-24T01:07:54.387283200
https://www.otodom.pl/pl/oferta/mieszkanie-82-2-m2-miejsce-postojowe-niska-cena-ID4f0Wy.html;Skawina;650000.0;82.2;Mieszkanie 82,2 m2 + miejsce postojowe, niska cena;2023-03-24T01:07:54.551479800
https://www.otodom.pl/pl/oferta/piekne-nowoczesne-smart-2-pokojowe-w-skawinie-ID4kBGI.html;Skawina;450000.0;48.0;piękne, nowoczesne, smart, 2 pokojowe w Skawinie;2023-03-24T01:07:54.709364900
https://www.otodom.pl/pl/oferta/lanowa-park-mieszkanie-do-wejscia-gotowe-ID4kBho.html;Skawina;699000.0;85.14;Łanowa Park mieszkanie do wejścia - Gotowe;2023-03-24T01:07:54.875269600
https://www.otodom.pl/pl/oferta/odstapie-partycypacje-mieszkania-w-tbs-ID4kEaN.html;Skawina;240000.0;44.88;Odstąpię partycypację mieszkania w TBS;2023-03-24T01:07:55.046263400
https://www.otodom.pl/pl/oferta/3pok-65m2-40m-strych-wyposazone-luksusowe-osiedle-ID4j7T6.html;Skawina;538000.0;65.0;3pok. 65m2+40m strych wyposażone luksusowe osiedle;2023-03-24T01:07:55.217106900
https://www.otodom.pl/pl/oferta/skawina-mieszkanie-o-pow-22m2-po-remoncie-ID4kpW4.html;Skawina;250000.0;22.0;Skawina mieszkanie o pow 22m2 po remoncie;2023-03-24T01:07:55.392109
https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-61m-CID3-IDT0xko.html;Skawina;460000.0;61.0;Mieszkanie 2 pokojowe 61m²;2023-03-24T01:07:55.548703400
https://www.otodom.pl/pl/oferta/skawina-mieszkanie-o-pow-47m2-ID4kzx9.html;Skawina;349000.0;47.0;Skawina mieszkanie o pow. 47m2;2023-03-24T01:07:55.708286400
https://www.otodom.pl/pl/oferta/mieszkanie-jak-domek-niedaleko-skawiny-polanka-ID4kr43.html;Skawina;330000.0;49.16;Mieszkanie jak domek, niedaleko Skawiny - Polanka;2023-03-24T01:07:55.860264500
https://www.otodom.pl/pl/oferta/mieszkanie-z-wlasnym-ogrodem-ID4kvNO.html;Skawina;360000.0;33.0;Mieszkanie z własnym ogrodem;2023-03-24T01:07:56.031220900
https://www.otodom.pl/pl/oferta/wysoki-standard-w-centrum-skawiny-rezerwacja-ID4ky7q.html;Skawina;485000.0;44.4;Wysoki Standard w Centrum Skawiny REZERWACJA;2023-03-24T01:07:56.287860300
https://www.otodom.pl/pl/oferta/ladne-sloneczne-mieszkanie-blisko-centrum-ID4kxWb.html;Skawina;470000.0;54.0;Ładne, słoneczne mieszkanie blisko centrum;2023-03-24T01:07:56.509107500
https://www.otodom.pl/pl/oferta/apartamenty-sadowa-ID4igjQ.html;Skawina;493804.0;60.22;Apartamenty Sadowa !;2023-03-24T01:07:56.727506
https://www.otodom.pl/pl/oferta/3-pokoje-w-zielonej-czesci-skawiny-ID4jxv4.html;Skawina;530000.0;60.32;3 pokoje w zielonej części Skawiny;2023-03-24T01:07:56.951626
https://www.otodom.pl/pl/oferta/apartament-3-pokojowy-na-i-pietrze-ID4igk4.html;Skawina;498600.0;60.81;Apartament 3 pokojowy na I piętrze;2023-03-24T01:07:57.264142600
https://www.otodom.pl/pl/oferta/mieszkanie-33-m2-z-ogrodkiem-i-garazem-ID4kwiQ.html;Skawina;360000.0;33.0;Mieszkanie 33 m2 z ogródkiem i garażem;2023-03-24T01:07:57.871797
https://www.olx.pl/d/oferta/okazja-super-kawalerka-skawina-sloneczna-1d-do-wejscia-wolna-CID3-IDTpkD5.html;Skawina;279000.0;27.75;OKAZJA! Super kawalerka Skawina Słoneczna 1D, do wejścia, wolna;2023-03-24T01:07:58.069192800
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-52-08-m2-balkon-ID4kqoP.html;Skawina;530000.0;52.08;Sprzedam mieszkanie 52,08 M2 + balkon;2023-03-24T01:07:58.253200
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-atrakcyjna-lokalizacja-ID4fN9L.html;Skawina;400000.0;58.0;Mieszkanie 3-pokojowe, atrakcyjna lokalizacja!;2023-03-24T01:07:58.718261700
https://www.otodom.pl/pl/oferta/ustawne-2-pokojowe-mieszkanie-w-centrum-skawiny-ID4kvrh.html;Skawina;383000.0;52.0;Ustawne 2 pokojowe mieszkanie w centrum Skawiny;2023-03-24T01:50:15.910405500
https://www.olx.pl/d/oferta/3-pokojowe-65m2-40m-strych-wyposazone-mieszkanie-na-luksusowym-osiedlu-CID3-IDRyyWb.html;Skawina;538000.0;68.0;3 pokojowe 65m2+40m strych wyposażone mieszkanie na luksusowym osiedlu;2023-03-24T01:50:16.614791500
https://www.otodom.pl/pl/oferta/przestronny-apartament-z-duzym-tarasem-w-skawinie-ID4jbpZ.html;Skawina;720000.0;73.39;Przestronny apartament z dużym tarasem w Skawinie.;2023-03-24T01:50:16.746890800
